date,platform,abs_orbit,rel_orbit,orbit_state,kp_pct,sk_pct,jeju_pct,id
2022-08-26,SENTINEL-1A,44722,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20220826T094053_20220826T094122_044722_0556FD_2098_COG
2022-08-23,SENTINEL-1A,44678,156,ascending,29.6,0.0,0.0,S1A_IW_GRDH_1SDV_20220823T091711_20220823T091740_044678_055574_AFDB_COG
2022-08-21,SENTINEL-1A,44649,127,ascending,76.3,36.5,0.0,S1A_IW_GRDH_1SDV_20220821T093225_20220821T093251_044649_05548C_7C74_COG
2022-08-21,SENTINEL-1A,44649,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20220821T093200_20220821T093225_044649_05548C_FFA9_COG
2022-08-21,SENTINEL-1A,44649,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20220821T093131_20220821T093200_044649_05548C_34DA_COG
2022-08-16,SENTINEL-1A,44576,54,ascending,55.2,0.0,0.0,S1A_IW_GRDH_1SDV_20220816T092512_20220816T092537_044576_0551FC_1AF3_COG
2022-08-16,SENTINEL-1A,44576,54,ascending,61.3,0.0,0.0,S1A_IW_GRDH_1SDV_20220816T092447_20220816T092512_044576_0551FC_AAF7_COG
2022-08-16,SENTINEL-1A,44576,54,ascending,45.7,27.3,0.0,S1A_IW_GRDH_1SDV_20220816T092422_20220816T092447_044576_0551FC_DA9C_COG
2022-08-16,SENTINEL-1A,44576,54,ascending,69.4,60.4,0.0,S1A_IW_GRDH_1SDV_20220816T092357_20220816T092422_044576_0551FC_69A0_COG
2022-08-16,SENTINEL-1A,44576,54,ascending,46.3,31.8,0.0,S1A_IW_GRDH_1SDV_20220816T092328_20220816T092357_044576_0551FC_DBCB_COG
2022-08-14,SENTINEL-1A,44547,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20220814T094122_20220814T094155_044547_055117_CD76_COG
2022-08-14,SENTINEL-1A,44547,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20220814T094052_20220814T094122_044547_055117_5D99_COG
2022-08-11,SENTINEL-1A,44503,156,ascending,29.6,0.0,0.0,S1A_IW_GRDH_1SDV_20220811T091710_20220811T091739_044503_054F89_6BA3_COG
2022-08-09,SENTINEL-1A,44474,127,ascending,76.2,36.5,0.0,S1A_IW_GRDH_1SDV_20220809T093225_20220809T093250_044474_054EA8_7499_COG
2022-08-09,SENTINEL-1A,44474,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20220809T093200_20220809T093225_044474_054EA8_783C_COG
2022-08-09,SENTINEL-1A,44474,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20220809T093130_20220809T093200_044474_054EA8_941E_COG
2022-08-04,SENTINEL-1A,44401,54,ascending,72.5,63.2,0.0,S1A_IW_GRDH_1SDV_20220804T092356_20220804T092408_044401_054C72_6F23_COG
2022-08-04,SENTINEL-1A,44401,54,ascending,46.7,32.1,0.0,S1A_IW_GRDH_1SDV_20220804T092327_20220804T092356_044401_054C72_4817_COG
2022-08-02,SENTINEL-1A,44372,25,ascending,20.7,0.0,0.0,S1A_IW_GRDH_1SDV_20220802T094052_20220802T094122_044372_054B9F_CBFF_COG
2023-07-30,SENTINEL-1A,49651,54,ascending,55.2,0.0,0.0,S1A_IW_GRDH_1SDV_20230730T092515_20230730T092540_049651_05F86B_066F_COG
2023-07-30,SENTINEL-1A,49651,54,ascending,61.3,0.0,0.0,S1A_IW_GRDH_1SDV_20230730T092450_20230730T092515_049651_05F86B_D9B9_COG
2023-07-30,SENTINEL-1A,49651,54,ascending,45.7,27.3,0.0,S1A_IW_GRDH_1SDV_20230730T092425_20230730T092450_049651_05F86B_165D_COG
2023-07-30,SENTINEL-1A,49651,54,ascending,69.4,60.4,0.0,S1A_IW_GRDH_1SDV_20230730T092400_20230730T092425_049651_05F86B_1989_COG
2023-07-30,SENTINEL-1A,49651,54,ascending,46.3,31.8,0.0,S1A_IW_GRDH_1SDV_20230730T092331_20230730T092400_049651_05F86B_2796_COG
2023-07-28,SENTINEL-1A,49622,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230728T094125_20230728T094159_049622_05F78D_5F3C_COG
2023-07-28,SENTINEL-1A,49622,25,ascending,20.3,0.0,0.0,S1A_IW_GRDH_1SDV_20230728T094056_20230728T094125_049622_05F78D_EDE7_COG
2023-07-25,SENTINEL-1A,49578,156,ascending,28.8,0.0,0.0,S1A_IW_GRDH_1SDV_20230725T091714_20230725T091744_049578_05F627_BC6D_COG
2023-07-23,SENTINEL-1A,49556,134,descending,5.3,0.0,4.8,S1A_IW_GRDH_1SDV_20230723T213346_20230723T213409_049556_05F581_2672_COG
2023-07-23,SENTINEL-1A,49556,134,descending,53.6,31.4,0.0,S1A_IW_GRDH_1SDV_20230723T213321_20230723T213346_049556_05F581_DFF0_COG
2023-07-23,SENTINEL-1A,49556,134,descending,87.1,82.3,0.0,S1A_IW_GRDH_1SDV_20230723T213256_20230723T213321_049556_05F581_CF72_COG
2023-07-23,SENTINEL-1A,49556,134,descending,78.9,56.8,0.0,S1A_IW_GRDH_1SDV_20230723T213227_20230723T213256_049556_05F581_188A_COG
2023-07-23,SENTINEL-1A,49549,127,ascending,76.2,36.5,0.0,S1A_IW_GRDH_1SDV_20230723T093228_20230723T093254_049549_05F549_90AC_COG
2023-07-23,SENTINEL-1A,49549,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20230723T093203_20230723T093228_049549_05F549_61A3_COG
2023-07-23,SENTINEL-1A,49549,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20230723T093134_20230723T093203_049549_05F549_7A75_COG
2023-07-18,SENTINEL-1A,49483,61,descending,35.7,23.6,0.0,S1A_IW_GRDH_1SDV_20230718T212455_20230718T212529_049483_05F346_86A8_COG
2023-07-18,SENTINEL-1A,49483,61,descending,26.9,18.2,0.0,S1A_IW_GRDH_1SDV_20230718T212426_20230718T212455_049483_05F346_E267_COG
2023-07-18,SENTINEL-1A,49476,54,ascending,55.2,0.0,0.0,S1A_IW_GRDH_1SDV_20230718T092515_20230718T092540_049476_05F302_20BA_COG
2023-07-18,SENTINEL-1A,49476,54,ascending,61.3,0.0,0.0,S1A_IW_GRDH_1SDV_20230718T092450_20230718T092515_049476_05F302_BDDC_COG
2023-07-18,SENTINEL-1A,49476,54,ascending,45.7,27.3,0.0,S1A_IW_GRDH_1SDV_20230718T092425_20230718T092450_049476_05F302_22EA_COG
2023-07-18,SENTINEL-1A,49476,54,ascending,69.4,60.3,0.0,S1A_IW_GRDH_1SDV_20230718T092400_20230718T092425_049476_05F302_0F5A_COG
2023-07-18,SENTINEL-1A,49476,54,ascending,46.3,31.8,0.0,S1A_IW_GRDH_1SDV_20230718T092331_20230718T092400_049476_05F302_680A_COG
2023-07-16,SENTINEL-1A,49447,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230716T094125_20230716T094159_049447_05F22E_7CCC_COG
2023-07-16,SENTINEL-1A,49447,25,ascending,20.4,0.0,0.0,S1A_IW_GRDH_1SDV_20230716T094056_20230716T094125_049447_05F22E_8478_COG
2023-07-13,SENTINEL-1A,49403,156,ascending,28.8,0.0,0.0,S1A_IW_GRDH_1SDV_20230713T091714_20230713T091743_049403_05F0CB_4CFB_COG
